epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2140.71,0.73824,0.33727,0.75421,0.93889,0.83286,0.86779,0.62077,0.80459,0.36454,0.77262,0.00105844,0.000352812,0.00105844,0.000352812,0.00105844,0.000352812,0.00105844,0.000352812
31,2225.96,0.53587,0.27269,0.75056,0.93293,0.83761,0.87066,0.62607,0.79569,0.35851,0.77208,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875
32,2285.42,0.52679,0.2679,0.75086,0.93351,0.84542,0.8719,0.62643,0.79551,0.3567,0.77165,0.000872812,0.000290937,0.000872812,0.000290937,0.000872812,0.000290937,0.000872812,0.000290937
33,2344.89,0.52237,0.26553,0.75059,0.94958,0.84254,0.87336,0.62861,0.79424,0.3541,0.77214,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
34,2404.19,0.52278,0.2651,0.74973,0.94251,0.83911,0.87205,0.62763,0.7934,0.3553,0.77184,0.000687188,0.000229063,0.000687188,0.000229063,0.000687188,0.000229063,0.000687188,0.000229063
35,2463.08,0.51796,0.26264,0.75018,0.95671,0.83897,0.87338,0.62969,0.79227,0.35415,0.77164,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125
36,2522.28,0.51957,0.26233,0.75031,0.94235,0.84595,0.87386,0.6307,0.79236,0.35337,0.77197,0.000501563,0.000167188,0.000501563,0.000167188,0.000501563,0.000167188,0.000501563,0.000167188
37,2582.46,0.51761,0.26139,0.75099,0.94487,0.84381,0.87513,0.63218,0.79204,0.3544,0.77156,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
38,2643.04,0.51885,0.26191,0.75009,0.94399,0.84538,0.8751,0.63154,0.79102,0.35294,0.77158,0.000315937,0.000105312,0.000315937,0.000105312,0.000315937,0.000105312,0.000315937,0.000105312
39,2703.01,0.51611,0.26046,0.75044,0.94479,0.84475,0.87494,0.63112,0.79078,0.35282,0.77172,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05
40,2762.76,0.5159,0.26012,0.74906,0.9445,0.84542,0.87471,0.63045,0.79074,0.35274,0.77153,0.000130313,4.34375e-05,0.000130313,4.34375e-05,0.000130313,4.34375e-05,0.000130313,4.34375e-05
