epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4079.43,0.96789,0.36118,0.78863,0.93721,0.78669,0.85266,0.58197,1.09258,0.38641,0.80584,0.00746313,0.00746313,0.00746313
43,4177.8,0.98149,0.36401,0.78665,0.93942,0.78197,0.84384,0.57465,1.07981,0.3807,0.80568,0.00740125,0.00740125,0.00740125
44,4273.36,0.96695,0.36029,0.78744,0.92316,0.78678,0.84041,0.5771,1.08542,0.38098,0.80589,0.00733937,0.00733937,0.00733937
45,4373.2,0.9456,0.35422,0.7874,0.9496,0.77833,0.8418,0.57777,1.0787,0.38003,0.80512,0.0072775,0.0072775,0.0072775
46,4476.1,0.95375,0.35526,0.7857,0.93249,0.78398,0.83869,0.57586,1.08209,0.37699,0.80568,0.00721562,0.00721562,0.00721562
47,4582.7,0.94225,0.35308,0.7856,0.94965,0.78746,0.84712,0.58676,1.06958,0.37651,0.80506,0.00715375,0.00715375,0.00715375
48,4677.14,0.94178,0.35192,0.78432,0.93665,0.78707,0.8508,0.58359,1.06524,0.3734,0.8035,0.00709188,0.00709188,0.00709188
49,4765.46,0.94044,0.35226,0.78465,0.95736,0.78405,0.85073,0.5812,1.06658,0.37211,0.8049,0.00703,0.00703,0.00703
50,4850.56,0.93557,0.34801,0.78308,0.95957,0.77992,0.85143,0.58188,1.06345,0.37222,0.80437,0.00696812,0.00696812,0.00696812
51,4939.32,0.91929,0.3454,0.78382,0.93942,0.79025,0.85324,0.58429,1.06538,0.36918,0.80385,0.00690625,0.00690625,0.00690625
52,5025.37,0.91592,0.34414,0.78346,0.94035,0.77833,0.8431,0.58184,1.06294,0.36988,0.80287,0.00684438,0.00684438,0.00684438
53,5112.1,0.91199,0.34178,0.78299,0.93495,0.78747,0.85337,0.58742,1.06097,0.36785,0.80363,0.0067825,0.0067825,0.0067825
54,5200.96,0.89805,0.33887,0.78261,0.92999,0.78872,0.8514,0.587,1.0624,0.36723,0.80316,0.00672063,0.00672063,0.00672063
55,5288.68,0.89211,0.33673,0.7837,0.94856,0.78748,0.84575,0.58865,1.05265,0.36528,0.80301,0.00665875,0.00665875,0.00665875
56,5379.88,0.90189,0.33704,0.78213,0.96111,0.78738,0.85403,0.59253,1.05304,0.36215,0.80354,0.00659688,0.00659688,0.00659688
57,5482.59,0.87839,0.33261,0.78323,0.93912,0.79537,0.8527,0.59579,1.05594,0.36373,0.80327,0.006535,0.006535,0.006535
58,5583.19,0.8697,0.32969,0.78193,0.95662,0.77857,0.84296,0.57975,1.04956,0.36342,0.80231,0.00647313,0.00647313,0.00647313
59,5684.4,0.86967,0.32947,0.7815,0.94847,0.78543,0.85232,0.58553,1.04114,0.35938,0.80133,0.00641125,0.00641125,0.00641125
60,5788.55,0.87054,0.328,0.78119,0.92397,0.7921,0.84922,0.58948,1.05167,0.36142,0.8028,0.00634937,0.00634937,0.00634937
61,5894.22,0.86551,0.3273,0.78076,0.95809,0.78124,0.85077,0.59047,1.04627,0.36407,0.80235,0.0062875,0.0062875,0.0062875
62,5988.62,0.8681,0.32796,0.78016,0.94695,0.79418,0.84988,0.59642,1.03689,0.35702,0.80114,0.00622563,0.00622563,0.00622563
63,6081.86,0.86419,0.32755,0.78119,0.94298,0.78978,0.85223,0.59379,1.04035,0.35948,0.80056,0.00616375,0.00616375,0.00616375
64,6177.66,0.84868,0.32223,0.78103,0.9394,0.79003,0.85231,0.59294,1.03727,0.35666,0.80098,0.00610187,0.00610187,0.00610187
65,6267.46,0.85482,0.32261,0.7804,0.96103,0.78274,0.85313,0.59598,1.03508,0.35554,0.80038,0.00604,0.00604,0.00604
66,6369.68,0.84581,0.32153,0.77946,0.94887,0.79317,0.85702,0.59703,1.03394,0.3548,0.79987,0.00597812,0.00597812,0.00597812
67,6471.9,0.84916,0.32039,0.77933,0.94587,0.79925,0.85264,0.60113,1.01923,0.34839,0.79963,0.00591625,0.00591625,0.00591625
